alpha=0.20, onset=0.75, offset=0.60,     | FA: 0.0900 | MISS: 0.2300 | CER: 0.1982 | DER: 0.5183 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.60,     | FA: 0.0899 | MISS: 0.2305 | CER: 0.1970 | DER: 0.5173 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.60,     | FA: 0.0888 | MISS: 0.2328 | CER: 0.1906 | DER: 0.5122 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.60,     | FA: 0.0839 | MISS: 0.2554 | CER: 0.1833 | DER: 0.5226 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.65,     | FA: 0.0900 | MISS: 0.2299 | CER: 0.1993 | DER: 0.5192 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.65,     | FA: 0.0899 | MISS: 0.2302 | CER: 0.2032 | DER: 0.5234 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.65,     | FA: 0.0898 | MISS: 0.2307 | CER: 0.1926 | DER: 0.5131 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.65,     | FA: 0.0887 | MISS: 0.2330 | CER: 0.1929 | DER: 0.5146 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.65,     | FA: 0.0838 | MISS: 0.2556 | CER: 0.1888 | DER: 0.5282 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.70,     | FA: 0.0899 | MISS: 0.2306 | CER: 0.1898 | DER: 0.5103 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.70,     | FA: 0.0898 | MISS: 0.2310 | CER: 0.1863 | DER: 0.5071 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.70,     | FA: 0.0886 | MISS: 0.2334 | CER: 0.1927 | DER: 0.5147 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.70,     | FA: 0.0838 | MISS: 0.2559 | CER: 0.1833 | DER: 0.5229 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.75,     | FA: 0.0896 | MISS: 0.2314 | CER: 0.1874 | DER: 0.5084 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.75,     | FA: 0.0885 | MISS: 0.2338 | CER: 0.1867 | DER: 0.5090 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.75,     | FA: 0.0836 | MISS: 0.2563 | CER: 0.1811 | DER: 0.5210 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.80,     | FA: 0.0884 | MISS: 0.2341 | CER: 0.1971 | DER: 0.5197 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.80,     | FA: 0.0836 | MISS: 0.2566 | CER: 0.1830 | DER: 0.5232 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.30, offset=0.10,     | FA: 0.1609 | MISS: 0.0128 | CER: 0.3142 | DER: 0.4880 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.35, offset=0.10,     | FA: 0.1608 | MISS: 0.0131 | CER: 0.2979 | DER: 0.4718 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.40, offset=0.10,     | FA: 0.1607 | MISS: 0.0136 | CER: 0.2975 | DER: 0.4718 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.45, offset=0.10,     | FA: 0.1607 | MISS: 0.0136 | CER: 0.2979 | DER: 0.4721 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.50, offset=0.10,     | FA: 0.1607 | MISS: 0.0136 | CER: 0.2982 | DER: 0.4726 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.55, offset=0.10,     | FA: 0.1607 | MISS: 0.0137 | CER: 0.2975 | DER: 0.4718 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.60, offset=0.10,     | FA: 0.1607 | MISS: 0.0137 | CER: 0.2972 | DER: 0.4715 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.65, offset=0.10,     | FA: 0.1606 | MISS: 0.0137 | CER: 0.2980 | DER: 0.4723 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.70, offset=0.10,     | FA: 0.1596 | MISS: 0.0156 | CER: 0.2944 | DER: 0.4696 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.75, offset=0.10,     | FA: 0.1587 | MISS: 0.0206 | CER: 0.2997 | DER: 0.4790 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.80, offset=0.10,     | FA: 0.1571 | MISS: 0.0283 | CER: 0.2895 | DER: 0.4749 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.85, offset=0.10,     | FA: 0.1548 | MISS: 0.0400 | CER: 0.2865 | DER: 0.4812 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.90, offset=0.10,     | FA: 0.1519 | MISS: 0.0557 | CER: 0.2822 | DER: 0.4898 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.30, offset=0.15,     | FA: 0.1514 | MISS: 0.0274 | CER: 0.2896 | DER: 0.4684 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.35, offset=0.15,     | FA: 0.1506 | MISS: 0.0286 | CER: 0.2807 | DER: 0.4599 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.40, offset=0.15,     | FA: 0.1503 | MISS: 0.0297 | CER: 0.2766 | DER: 0.4566 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.45, offset=0.15,     | FA: 0.1503 | MISS: 0.0297 | CER: 0.2778 | DER: 0.4578 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.50, offset=0.15,     | FA: 0.1503 | MISS: 0.0298 | CER: 0.2794 | DER: 0.4595 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.55, offset=0.15,     | FA: 0.1503 | MISS: 0.0299 | CER: 0.2829 | DER: 0.4630 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.60, offset=0.15,     | FA: 0.1503 | MISS: 0.0299 | CER: 0.2788 | DER: 0.4590 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.65, offset=0.15,     | FA: 0.1502 | MISS: 0.0300 | CER: 0.2768 | DER: 0.4569 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.70, offset=0.15,     | FA: 0.1493 | MISS: 0.0320 | CER: 0.2782 | DER: 0.4594 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.75, offset=0.15,     | FA: 0.1478 | MISS: 0.0387 | CER: 0.2750 | DER: 0.4615 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.80, offset=0.15,     | FA: 0.1452 | MISS: 0.0510 | CER: 0.2806 | DER: 0.4768 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.85, offset=0.15,     | FA: 0.1412 | MISS: 0.0668 | CER: 0.2892 | DER: 0.4972 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.90, offset=0.15,     | FA: 0.1363 | MISS: 0.0930 | CER: 0.2663 | DER: 0.4956 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.30, offset=0.20,     | FA: 0.1394 | MISS: 0.0493 | CER: 0.2653 | DER: 0.4539 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.35, offset=0.20,     | FA: 0.1365 | MISS: 0.0540 | CER: 0.2630 | DER: 0.4536 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.40, offset=0.20,     | FA: 0.1352 | MISS: 0.0591 | CER: 0.2748 | DER: 0.4692 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.45, offset=0.20,     | FA: 0.1352 | MISS: 0.0592 | CER: 0.2750 | DER: 0.4694 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.50, offset=0.20,     | FA: 0.1351 | MISS: 0.0593 | CER: 0.2721 | DER: 0.4665 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.55, offset=0.20,     | FA: 0.1351 | MISS: 0.0594 | CER: 0.2707 | DER: 0.4652 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.60, offset=0.20,     | FA: 0.1351 | MISS: 0.0595 | CER: 0.2714 | DER: 0.4660 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.65, offset=0.20,     | FA: 0.1349 | MISS: 0.0598 | CER: 0.2767 | DER: 0.4714 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.70, offset=0.20,     | FA: 0.1340 | MISS: 0.0619 | CER: 0.2725 | DER: 0.4684 | Spk. Count Acc. 1.0000
