alpha=0.20, onset=0.75, offset=0.45,     | FA: 0.0535 | MISS: 0.1743 | CER: 0.4435 | DER: 0.6713 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.45,     | FA: 0.0534 | MISS: 0.1746 | CER: 0.3998 | DER: 0.6278 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.45,     | FA: 0.0517 | MISS: 0.1823 | CER: 0.4068 | DER: 0.6408 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.45,     | FA: 0.0499 | MISS: 0.1939 | CER: 0.4254 | DER: 0.6692 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.55, offset=0.50,     | FA: 0.0537 | MISS: 0.1733 | CER: 0.4389 | DER: 0.6659 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.50,     | FA: 0.0536 | MISS: 0.1737 | CER: 0.5068 | DER: 0.7341 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.50,     | FA: 0.0535 | MISS: 0.1742 | CER: 0.4491 | DER: 0.6768 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.50,     | FA: 0.0535 | MISS: 0.1747 | CER: 0.5172 | DER: 0.7454 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.50,     | FA: 0.0535 | MISS: 0.1748 | CER: 0.4250 | DER: 0.6533 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.50,     | FA: 0.0534 | MISS: 0.1750 | CER: 0.4180 | DER: 0.6463 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.50,     | FA: 0.0517 | MISS: 0.1829 | CER: 0.4330 | DER: 0.6675 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.50,     | FA: 0.0498 | MISS: 0.1944 | CER: 0.4198 | DER: 0.6640 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.60, offset=0.55,     | FA: 0.0535 | MISS: 0.1741 | CER: 0.3963 | DER: 0.6239 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.55,     | FA: 0.0535 | MISS: 0.1745 | CER: 0.4158 | DER: 0.6438 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.55,     | FA: 0.0535 | MISS: 0.1750 | CER: 0.4288 | DER: 0.6572 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.55,     | FA: 0.0534 | MISS: 0.1751 | CER: 0.4573 | DER: 0.6859 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.55,     | FA: 0.0533 | MISS: 0.1753 | CER: 0.4409 | DER: 0.6695 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.55,     | FA: 0.0516 | MISS: 0.1832 | CER: 0.4829 | DER: 0.7177 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.55,     | FA: 0.0498 | MISS: 0.1947 | CER: 0.4427 | DER: 0.6872 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.65, offset=0.60,     | FA: 0.0534 | MISS: 0.1751 | CER: 0.5015 | DER: 0.7300 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.60,     | FA: 0.0534 | MISS: 0.1755 | CER: 0.4467 | DER: 0.6756 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.60,     | FA: 0.0534 | MISS: 0.1758 | CER: 0.4151 | DER: 0.6443 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.60,     | FA: 0.0532 | MISS: 0.1760 | CER: 0.4356 | DER: 0.6648 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.60,     | FA: 0.0516 | MISS: 0.1839 | CER: 0.4228 | DER: 0.6583 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.60,     | FA: 0.0497 | MISS: 0.1956 | CER: 0.4183 | DER: 0.6637 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.70, offset=0.65,     | FA: 0.0534 | MISS: 0.1761 | CER: 0.4180 | DER: 0.6474 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.65,     | FA: 0.0533 | MISS: 0.1763 | CER: 0.3818 | DER: 0.6115 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.65,     | FA: 0.0532 | MISS: 0.1765 | CER: 0.4068 | DER: 0.6366 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.65,     | FA: 0.0516 | MISS: 0.1845 | CER: 0.4184 | DER: 0.6544 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.65,     | FA: 0.0497 | MISS: 0.1961 | CER: 0.4218 | DER: 0.6677 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.75, offset=0.70,     | FA: 0.0533 | MISS: 0.1765 | CER: 0.4253 | DER: 0.6551 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.70,     | FA: 0.0532 | MISS: 0.1767 | CER: 0.4247 | DER: 0.6546 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.70,     | FA: 0.0515 | MISS: 0.1846 | CER: 0.4353 | DER: 0.6714 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.70,     | FA: 0.0497 | MISS: 0.1963 | CER: 0.4087 | DER: 0.6546 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.80, offset=0.75,     | FA: 0.0531 | MISS: 0.1768 | CER: 0.4396 | DER: 0.6695 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.75,     | FA: 0.0515 | MISS: 0.1849 | CER: 0.4185 | DER: 0.6549 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.75,     | FA: 0.0496 | MISS: 0.1966 | CER: 0.4175 | DER: 0.6637 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.85, offset=0.80,     | FA: 0.0514 | MISS: 0.1852 | CER: 0.4465 | DER: 0.6831 | Spk. Count Acc. 0.7500
alpha=0.20, onset=0.90, offset=0.80,     | FA: 0.0496 | MISS: 0.1971 | CER: 0.4656 | DER: 0.7122 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.30, offset=0.10,     | FA: 0.0887 | MISS: 0.0676 | CER: 0.5511 | DER: 0.7073 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.35, offset=0.10,     | FA: 0.0830 | MISS: 0.0790 | CER: 0.4901 | DER: 0.6521 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.40, offset=0.10,     | FA: 0.0610 | MISS: 0.1269 | CER: 0.5367 | DER: 0.7246 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.45, offset=0.10,     | FA: 0.0589 | MISS: 0.1376 | CER: 0.4754 | DER: 0.6719 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.50, offset=0.10,     | FA: 0.0588 | MISS: 0.1379 | CER: 0.4724 | DER: 0.6692 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.55, offset=0.10,     | FA: 0.0588 | MISS: 0.1382 | CER: 0.5339 | DER: 0.7309 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.60, offset=0.10,     | FA: 0.0587 | MISS: 0.1389 | CER: 0.4681 | DER: 0.6657 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.65, offset=0.10,     | FA: 0.0582 | MISS: 0.1417 | CER: 0.4646 | DER: 0.6644 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.70, offset=0.10,     | FA: 0.0577 | MISS: 0.1450 | CER: 0.4990 | DER: 0.7018 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.75, offset=0.10,     | FA: 0.0570 | MISS: 0.1488 | CER: 0.5287 | DER: 0.7344 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.80, offset=0.10,     | FA: 0.0562 | MISS: 0.1537 | CER: 0.4604 | DER: 0.6703 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.85, offset=0.10,     | FA: 0.0542 | MISS: 0.1611 | CER: 0.4980 | DER: 0.7132 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.90, offset=0.10,     | FA: 0.0504 | MISS: 0.1730 | CER: 0.4536 | DER: 0.6771 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.30, offset=0.15,     | FA: 0.0811 | MISS: 0.0809 | CER: 0.5610 | DER: 0.7230 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.35, offset=0.15,     | FA: 0.0765 | MISS: 0.0895 | CER: 0.5403 | DER: 0.7063 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.40, offset=0.15,     | FA: 0.0586 | MISS: 0.1352 | CER: 0.4866 | DER: 0.6804 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.45, offset=0.15,     | FA: 0.0576 | MISS: 0.1448 | CER: 0.4431 | DER: 0.6455 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.50, offset=0.15,     | FA: 0.0576 | MISS: 0.1454 | CER: 0.4736 | DER: 0.6766 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.55, offset=0.15,     | FA: 0.0576 | MISS: 0.1458 | CER: 0.4350 | DER: 0.6384 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.60, offset=0.15,     | FA: 0.0574 | MISS: 0.1466 | CER: 0.4599 | DER: 0.6639 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.65, offset=0.15,     | FA: 0.0569 | MISS: 0.1497 | CER: 0.5042 | DER: 0.7109 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.70, offset=0.15,     | FA: 0.0564 | MISS: 0.1532 | CER: 0.4997 | DER: 0.7092 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.75, offset=0.15,     | FA: 0.0557 | MISS: 0.1570 | CER: 0.4754 | DER: 0.6882 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.80, offset=0.15,     | FA: 0.0549 | MISS: 0.1626 | CER: 0.4677 | DER: 0.6851 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.85, offset=0.15,     | FA: 0.0527 | MISS: 0.1707 | CER: 0.4607 | DER: 0.6841 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.90, offset=0.15,     | FA: 0.0488 | MISS: 0.1845 | CER: 0.4975 | DER: 0.7309 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.30, offset=0.20,     | FA: 0.0753 | MISS: 0.0929 | CER: 0.5518 | DER: 0.7200 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.35, offset=0.20,     | FA: 0.0714 | MISS: 0.1019 | CER: 0.4815 | DER: 0.6549 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.40, offset=0.20,     | FA: 0.0572 | MISS: 0.1446 | CER: 0.4674 | DER: 0.6692 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.45, offset=0.20,     | FA: 0.0565 | MISS: 0.1522 | CER: 0.4697 | DER: 0.6785 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.50, offset=0.20,     | FA: 0.0564 | MISS: 0.1527 | CER: 0.4484 | DER: 0.6576 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.55, offset=0.20,     | FA: 0.0564 | MISS: 0.1530 | CER: 0.4094 | DER: 0.6188 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.60, offset=0.20,     | FA: 0.0563 | MISS: 0.1536 | CER: 0.4437 | DER: 0.6537 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.65, offset=0.20,     | FA: 0.0557 | MISS: 0.1568 | CER: 0.4399 | DER: 0.6525 | Spk. Count Acc. 0.7500
alpha=0.40, onset=0.70, offset=0.20,     | FA: 0.0552 | MISS: 0.1605 | CER: 0.4307 | DER: 0.6464 | Spk. Count Acc. 0.7500
