alpha=0.20, onset=0.90, offset=0.60,     | FA: 0.0470 | MISS: 0.1850 | CER: 0.0427 | DER: 0.2747 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.70, offset=0.65,     | FA: 0.0534 | MISS: 0.1751 | CER: 0.0477 | DER: 0.2762 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.65,     | FA: 0.0534 | MISS: 0.1753 | CER: 0.0451 | DER: 0.2738 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.65,     | FA: 0.0531 | MISS: 0.1757 | CER: 0.0465 | DER: 0.2753 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.65,     | FA: 0.0526 | MISS: 0.1760 | CER: 0.0449 | DER: 0.2736 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.65,     | FA: 0.0468 | MISS: 0.1853 | CER: 0.0441 | DER: 0.2762 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.75, offset=0.70,     | FA: 0.0533 | MISS: 0.1759 | CER: 0.0465 | DER: 0.2757 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.70,     | FA: 0.0530 | MISS: 0.1764 | CER: 0.0436 | DER: 0.2730 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.70,     | FA: 0.0526 | MISS: 0.1767 | CER: 0.0447 | DER: 0.2740 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.70,     | FA: 0.0468 | MISS: 0.1859 | CER: 0.0497 | DER: 0.2824 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.80, offset=0.75,     | FA: 0.0530 | MISS: 0.1765 | CER: 0.0450 | DER: 0.2746 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.75,     | FA: 0.0526 | MISS: 0.1768 | CER: 0.0404 | DER: 0.2698 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.75,     | FA: 0.0467 | MISS: 0.1861 | CER: 0.0473 | DER: 0.2801 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.85, offset=0.80,     | FA: 0.0525 | MISS: 0.1770 | CER: 0.0422 | DER: 0.2717 | Spk. Count Acc. 1.0000
alpha=0.20, onset=0.90, offset=0.80,     | FA: 0.0467 | MISS: 0.1862 | CER: 0.0461 | DER: 0.2790 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.30, offset=0.10,     | FA: 0.1812 | MISS: 0.0009 | CER: 0.1781 | DER: 0.3602 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.35, offset=0.10,     | FA: 0.1782 | MISS: 0.0010 | CER: 0.0679 | DER: 0.2471 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.40, offset=0.10,     | FA: 0.1781 | MISS: 0.0021 | CER: 0.1752 | DER: 0.3554 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.45, offset=0.10,     | FA: 0.1781 | MISS: 0.0021 | CER: 0.0643 | DER: 0.2444 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.50, offset=0.10,     | FA: 0.1781 | MISS: 0.0022 | CER: 0.0539 | DER: 0.2342 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.55, offset=0.10,     | FA: 0.1781 | MISS: 0.0022 | CER: 0.1755 | DER: 0.3558 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.60, offset=0.10,     | FA: 0.1781 | MISS: 0.0022 | CER: 0.1744 | DER: 0.3547 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.65, offset=0.10,     | FA: 0.1781 | MISS: 0.0022 | CER: 0.0784 | DER: 0.2588 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.70, offset=0.10,     | FA: 0.1780 | MISS: 0.0022 | CER: 0.0782 | DER: 0.2584 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.75, offset=0.10,     | FA: 0.1774 | MISS: 0.0027 | CER: 0.0748 | DER: 0.2549 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.80, offset=0.10,     | FA: 0.1739 | MISS: 0.0029 | CER: 0.0741 | DER: 0.2509 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.85, offset=0.10,     | FA: 0.1696 | MISS: 0.0031 | CER: 0.0656 | DER: 0.2383 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.90, offset=0.10,     | FA: 0.1569 | MISS: 0.0033 | CER: 0.0779 | DER: 0.2380 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.30, offset=0.15,     | FA: 0.1346 | MISS: 0.0117 | CER: 0.0627 | DER: 0.2090 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.35, offset=0.15,     | FA: 0.1320 | MISS: 0.0145 | CER: 0.0890 | DER: 0.2355 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.40, offset=0.15,     | FA: 0.1320 | MISS: 0.0216 | CER: 0.0792 | DER: 0.2328 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.45, offset=0.15,     | FA: 0.1320 | MISS: 0.0217 | CER: 0.0682 | DER: 0.2219 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.50, offset=0.15,     | FA: 0.1320 | MISS: 0.0218 | CER: 0.0554 | DER: 0.2092 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.55, offset=0.15,     | FA: 0.1319 | MISS: 0.0218 | CER: 0.0683 | DER: 0.2221 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.60, offset=0.15,     | FA: 0.1319 | MISS: 0.0219 | CER: 0.0668 | DER: 0.2206 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.65, offset=0.15,     | FA: 0.1319 | MISS: 0.0219 | CER: 0.0680 | DER: 0.2218 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.70, offset=0.15,     | FA: 0.1318 | MISS: 0.0220 | CER: 0.0738 | DER: 0.2276 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.75, offset=0.15,     | FA: 0.1314 | MISS: 0.0228 | CER: 0.0841 | DER: 0.2383 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.80, offset=0.15,     | FA: 0.1277 | MISS: 0.0280 | CER: 0.0437 | DER: 0.1994 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.85, offset=0.15,     | FA: 0.1187 | MISS: 0.0350 | CER: 0.0478 | DER: 0.2015 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.90, offset=0.15,     | FA: 0.1027 | MISS: 0.0452 | CER: 0.0452 | DER: 0.1932 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.30, offset=0.20,     | FA: 0.0918 | MISS: 0.0414 | CER: 0.0407 | DER: 0.1740 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.35, offset=0.20,     | FA: 0.0855 | MISS: 0.0494 | CER: 0.0577 | DER: 0.1926 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.40, offset=0.20,     | FA: 0.0846 | MISS: 0.0700 | CER: 0.0619 | DER: 0.2165 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.45, offset=0.20,     | FA: 0.0846 | MISS: 0.0701 | CER: 0.0549 | DER: 0.2097 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.50, offset=0.20,     | FA: 0.0846 | MISS: 0.0705 | CER: 0.0605 | DER: 0.2156 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.55, offset=0.20,     | FA: 0.0845 | MISS: 0.0706 | CER: 0.0594 | DER: 0.2145 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.60, offset=0.20,     | FA: 0.0845 | MISS: 0.0707 | CER: 0.0608 | DER: 0.2160 | Spk. Count Acc. 1.0000
alpha=0.40, onset=0.65, offset=0.20,     | FA: 0.0844 | MISS: 0.0708 | CER: 0.0599 | DER: 0.2151 | Spk. Count Acc. 1.0000
